"01","173","Injoux-Génissiat","INJOUX-GENISSIAT","injoux-gacnissiat","01200"
"01","174","Innimond","INNIMOND","innimond","01680"
"01","175","Izenave","IZENAVE","izenave","01430"
"01","176","Izernore","IZERNORE","izernore","01580"
"01","177","Izieu","IZIEU","izieu","01300"
"01","178","Jassans-Riottier","JASSANS-RIOTTIER","jassans-riottier","01480"
"01","179","Jasseron","JASSERON","jasseron","01250"
"01","180","Jayat","JAYAT","jayat","01340"
"01","181","Journans","JOURNANS","journans","01250"
"01","182","Joyeux","JOYEUX","joyeux","01800"
"01","183","Jujurieux","JUJURIEUX","jujurieux","01640"
"01","184","Labalme","LABALME","labalme","01450"
"01","185","Lagnieu","LAGNIEU","lagnieu","01150"
"01","186","Laiz","LAIZ","laiz","01290"
"01","187","Lalleyriat","LALLEYRIAT","lalleyriat","01130"
"01","188","Lancrans","LANCRANS","lancrans","01200"
"01","189","Lantenay","LANTENAY","lantenay","01430"
"01","190","Lapeyrouse","LAPEYROUSE","lapeyrouse","01330"
"01","191","Lavours","LAVOURS","lavours","01350"
"01","192","Léaz","LEAZ","lacaz","01200"
"01","193","Lélex","LELEX","laclex","01410"
"01","194","Lent","LENT","lent","01240"
"01","195","Lescheroux","LESCHEROUX","lescheroux","01560"
"01","196","Leyment","LEYMENT","leyment","01150"
"01","197","Leyssard","LEYSSARD","leyssard","01450"
"01","198","Lhôpital","LHÔPITAL","lhapital","01420"
"01","199","Lhuis","LHUIS","lhuis","01680"
"01","200","Lochieu","LOCHIEU","lochieu","01260"
"01","201","Lompnas","LOMPNAS","lompnas","01680"
"01","202","Lompnieu","LOMPNIEU","lompnieu","01260"
"01","203","Loyettes","LOYETTES","loyettes","01360"
"01","204","Lurcy","LURCY","lurcy","01090"
"01","205","Magnieu","MAGNIEU","magnieu","01300"
"01","206","Maillat","MAILLAT","maillat","01430"
"01","207","Malafretaz","MALAFRETAZ","malafretaz","01340"
"01","208","Mantenay-Montlin","MANTENAY-MONTLIN","mantenay-montlin","01560"
"01","209","Manziat","MANZIAT","manziat","01570"
"01","210","Marboz","MARBOZ","marboz","01851"
"01","211","Marchamp","MARCHAMP","marchamp","01680"
"01","212","Marignieu","MARIGNIEU","marignieu","01300"
"01","213","Marlieux","MARLIEUX","marlieux","01240"
"01","214","Marsonnas","MARSONNAS","marsonnas","01340"
"01","215","Martignat","MARTIGNAT","martignat","01100"
"01","216","Massieux","MASSIEUX","massieux","01600"
"01","217","Massignieu-de-Rives","MASSIGNIEU-DE-RIVES","massignieu-de-rives","01300"
"01","218","Matafelon-Granges","MATAFELON-GRANGES","matafelon-granges","01580"
"01","219","Meillonnas","MEILLONNAS","meillonnas","01370"
"01","220","Mérignat","MERIGNAT","macrignat","01450"
"01","221","Messimy-sur-Saône","MESSIMY-SUR-SAÔNE","messimy-sur-saane","01480"
"01","222","Meximieux","MEXIMIEUX","meximieux","01800"
"01","223","Bohas-Meyriat-Rignat","BOHAS-MEYRIAT-RIGNAT","bohas-meyriat-rignat","01250"
"01","224","Mézériat","MEZERIAT","maczacriat","01660"
"01","225","Mijoux","MIJOUX","mijoux","01170-01410"
"01","226","Mionnay","MIONNAY","mionnay","01390"
"01","227","Miribel","MIRIBEL","miribel","01700"
"01","228","Misérieux","MISERIEUX","misacrieux","01600"
"01","229","Mogneneins","MOGNENEINS","mogneneins","01140"
"01","230","Montagnat","MONTAGNAT","montagnat","01250"
"01","231","Montagnieu","MONTAGNIEU","montagnieu","01470"
"01","232","Montanges","MONTANGES","montanges","01200"
"01","233","Montceaux","MONTCEAUX","montceaux","01090"
"01","234","Montcet","MONTCET","montcet","01310"
"01","235","Montellier (Le)","MONTELLIER (LE)","montellier-le","01800"
"01","236","Monthieux","MONTHIEUX","monthieux","01390"
"01","237","Montluel","MONTLUEL","montluel","01120"
"01","238","Montmerle-sur-Saône","MONTMERLE-SUR-SAÔNE","montmerle-sur-saane","01090"
"01","239","Montracol","MONTRACOL","montracol","01310"
"01","240","Montréal-la-Cluse","MONTREAL-LA-CLUSE","montracal-la-cluse","01460"
